Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
GREAVESCOT,62.5,2.747264022,1.014913033,0.31096398,27.83783259,0.734420514,8,12.03514013,42.39027277,0.16596119,27.58566048,0.436282471
RALLIS,16.66666667,0.610501349,1.126482229,0.311400831,20.88657148,0.51016471,6,-5.397959404,9.462835856,-1.098820646,41.56610642,-0.129864447
BAJAJFINSV,100,4.099106149,2.809213626,0.311672736,2.230566012,-0.088857114,8,17.19167823,32.47416126,0.37542704,0,inf
JSWSTEEL,75,2.423265681,2.838725065,0.311767415,24.54755781,0.626991689,12,10.46528537,27.46779783,0.198970642,27.54104552,0.379988674
GODREJCP,33.33333333,1.282063414,1.761439728,0.312456762,33.0103959,0.896456703,9,2.833449058,32.21385268,-0.067255257,27.51807407,0.102966837
AXISBANK,66.66666667,2.580693731,2.139588694,0.312778227,29.72381484,0.79045831,9,11.24991377,34.68785161,0.180175868,19.31298827,0.582505079
TVSMOTOR,81.25,2.221335361,3.431938899,0.312845588,23.25962319,0.58366248,16,9.389764996,32.56255985,0.134810194,47.87214077,0.196142576
CYIENT,58.82352941,2.372133143,2.754802243,0.312897434,16.74160225,0.375254029,17,10.20068958,33.62380677,0.154672837,41.51304653,0.2457225
IOC,53.84615385,0.856266711,1.44890943,0.314911544,7.621588486,0.083248409,13,-1.729785875,29.55752248,-0.22768437,63.08409245,-0.027420318
INDHOTEL,85.71428571,10.14030488,4.212904945,0.31518789,14.92593255,0.314921127,14,29.75683219,48.41390634,0.511357874,19.36822482,1.53637375
MPHASIS,76.92307692,0.995098578,2.555524503,0.316423162,18.15542834,0.415754278,13,-0.05523665,33.88098664,-0.149205709,43.67887603,-0.001264608
PIIND,76.92307692,3.428352591,4.098752419,0.317022227,40.02023516,1.104661825,13,14.86038162,31.85761423,0.309514126,10.1848231,1.459071156
TITAN,71.42857143,3.058644958,3.338792854,0.317357806,24.72107992,0.62141468,14,13.40234105,31.76721838,0.264497223,10.19179412,1.315012931
HINDZINC,61.53846154,1.229102669,2.144650059,0.319506631,35.77751273,0.96328244,13,2.346776985,39.60370746,-0.066994309,45.11796084,0.052014252
ICICIBANK,81.81818182,3.233979403,3.92690238,0.319601612,17.75677916,0.399146271,11,14.10898737,39.76047155,0.229096563,38.35384982,0.367863655
UBL,83.33333333,1.49320364,1.830535899,0.320255872,23.97637201,0.592537832,6,4.611553402,27.97669594,-0.013884649,33.98285139,0.135702368
NLCINDIA,80,7.498912316,2.623936461,0.321443558,14.20263563,0.286290871,15,25.42767742,42.62033215,0.479294186,10.21158967,2.490080216
BERGEPAINT,62.5,1.760008447,2.110770457,0.321468992,35.88131248,0.960631141,8,6.563403922,23.58054506,0.066300585,10.19314337,0.643903817
VGUARD,62.5,1.501332886,1.597430407,0.321498015,42.56382544,1.168399917,8,4.675441894,20.51453084,-0.015820889,19.33306245,0.24183659
CCL,80,1.492437192,2.037165726,0.321805136,29.69648345,0.767435963,10,4.609721202,27.35285851,-0.0142683,40.48718094,0.113856314
EIHOTEL,90.90909091,11.95759612,2.584121592,0.322063794,7.28479652,0.070942359,11,32.18459294,53.70044423,0.506226593,10.19771176,3.15606027
GULFOILLUB,50,1.471213625,1.022937552,0.322102745,31.6651029,0.827844633,8,4.43717196,27.65681304,-0.02035043,31.68008485,0.140061871
MCLEODRUSS,28.57142857,0.182738006,0.149859512,0.323354332,4.270114708,-0.022572306,21,-17.39757337,33.00949047,-0.678519209,83.35193576,-0.208724287
SUNPHARMA,80,3.182580223,2.773612072,0.323670998,26.84197386,0.674820235,10,13.90359674,31.13768623,0.285942786,10.19305864,1.364025974
CHOLAFIN,82.35294118,6.195249705,4.005492792,0.323797581,23.81046577,0.580932869,17,22.76281962,35.35656842,0.502390939,10.19922812,2.231817875
FSL,86.66666667,7.735844665,3.300089647,0.323996995,-4.454506366,-0.291808458,15,25.86718431,50.00173493,0.417329206,44.44490792,0.582005578
BHARATFORG,69.23076923,1.295309521,2.144939299,0.324492616,17.35397303,0.380716615,13,2.952378376,29.15216522,-0.070239092,48.10985723,0.061367432
IOB,56.25,2.18753484,3.844010979,0.325165296,1.00633423,-0.122819557,16,9.201315231,53.93799579,0.077891571,56.86708326,0.161803889
FDC,45.45454545,1.241732531,1.664233702,0.32615637,15.16266911,0.311588858,11,2.464502641,23.27695412,-0.108927369,34.91440141,0.070586994
COROMANDEL,71.42857143,1.646225058,2.463426144,0.328834244,25.76401225,0.631443124,14,5.765534367,15.01908433,0.050970775,19.3107436,0.29856615
MHRIL,60,3.931747561,2.04460843,0.329529976,0.016152285,-0.151241103,15,16.64363205,40.96856971,0.284208898,34.95564563,0.476135736
AARTIIND,60,2.219832761,2.071581659,0.329726675,34.33731093,0.889746361,15,9.381441707,31.58356633,0.138725363,41.55683835,0.22574965
NMDC,69.23076923,2.761778448,2.764814803,0.329746192,-11.86157559,-0.511350123,13,12.10154445,31.21965838,0.227470281,27.58100274,0.43876376
SHOPERSTOP,63.63636364,2.913322704,1.3502712,0.330141679,8.341347355,0.101209498,22,12.77696531,34.11056666,0.22799285,35.82668422,0.356632649
BPCL,61.53846154,1.598529194,1.500119862,0.330346404,13.54558751,0.258685653,13,5.416438009,24.44124197,0.017038333,20.47819458,0.264497829
CERA,62.5,2.178539864,2.061604198,0.330504848,38.02428827,0.99920738,8,9.150729804,32.89205314,0.126192481,19.16975834,0.477352382
